|character|text|type|character_clean|gender
926||"Joppy inhales, forcing himself to be calm.
JOPPY"|unknown||
927||"She asked me to help her 'cause I
told her that Albright was lookin'
for her. And I figured I could
help you make a few bucks and throw
Albright off the trail too. She
wanted to know something about you
so I told her... I guess I must've
give her your phone number..."|location||
928||EASY|unknown||
929||Where is she, man?|location||
930||"62.
B67   CONTINUED:   (3)                                                B67
JOPPY"|unknown||
931||I don't know...|location||
932||EASY|unknown||
933||Don't lie to me, Joppy!|location||
934||JOPPY|unknown||
935||"I ain't lyin'... I don't even know
her that good. She just asked me
to help her. And she asked me not
to tell nobody... I guess 'cause of
her and Frank Green."|location||
936||EASY|unknown||
937||What's she runnin' from Joppy?|location||
938||JOPPY|unknown||
939||"I swear I don't know. She didn't
tell me. I didn't mean to get you
into nothin', Easy... I just... she
just... I mean you seen her,
Easy... Man, she's something else."|location||
940||"Easy can see ""sucker"" written all over Joppy as he fumbles
for a cigarette with one hand and shakes his head with
disgust as he lights up.
EASY"|unknown||
941||"Damn, Joppy. Is there any white
woman that ever gave you the time
of day that you wasn't a sucker
for?"|location||
942||"Joppy frowns painfully and continues to wipe the bar.
67    EXT. T. CARTER FOUNDATION - DAY                                 67
Easy turns into the winding driveway through the stone
entrance way that bears the name of this distinguished
institution on a bronze plate.
He parks the car and gets   out, adjusting his dark brown
Stetson which matches his   pin-stripped suit. He looks
around at the massive and   well manicured grounds and walks
into a patio area of this   Spanish-style complex.
EASY (V.O.)"|unknown||
943||"Albright had said that when you're
mixed up in something it's best to
be mixed up to the top. I could
see his point. So that's where I
was going... all the way to the
top."|location||
944||"63.
68   EXT. CARTER FOUNDATION PATIO                                   68"|unknown||
945||"An ELDERLY SECRETARY descends an outdoor curved stairway
carrying a file. She spots Easy looking around confused and
immediately becomes annoyed."|stage direction||
946||"SECRETARY
May I help you?"|unknown||
947||"Uh... yes.   I came to see Mr.
Carter.
SECRETARY
Do you have an appointment?
EASY
No, I don't.
SECRETARY
Well, I'm sorry, but Mr. Carter is
a very busy man."|unknown||
948||Easy pulls out Albright's business card and hands it to her.|stage direction||
949||"EASY
Well, tell him Mr. Albright sent
me, and it's real important."|unknown||
950||"She looks at the card and then up at Easy with annoyed
superiority."|stage direction||
