|character|text|type|character_clean|gender
1153||(nervous)|location||
1154|DOROTHEA|What was that?|speech|DOROTHEA|F
1155|HARRY|It's okay.|speech|HARRY|M
1156||Harry slips out of bed.|stage direction||
1157||INT. SWANN'S MANSION - STAIRS - LOBBY - NIGHT|location||
1158||"Harry descends the stairs, buttoning up his trousers (which
is all he wears).  He has his gun."|stage direction||
1159|HARRY|Valentin?|speech|HARRY|M
1160||Dorothea appears behind him.|stage direction||
1161|DOROTHEA|Harry?  Wait!|speech|DOROTHEA|F
1162||"Harry's at the bottom of the stairs now.  Across the hall, in
a passageway, an eerie SILHOUETTE.  We can make out no detail
of clothing or face."|stage direction||
1163|HARRY|What the hell-?|speech|HARRY|M
1164||"Suddenly, the shadowy FIGURE comes at Harry.  A BLAST of
ENERGY bursts against Harry's face.  As it breaks against his
skin, we see (for three frames or so) a glimpse of Harry's
skull."|stage direction||
1165||(in pain)|location||
1166|HARRY|Aah!|speech|HARRY|M
1167||"Harry FIRES at the figure.  The shadows fold up around the
Stranger like an origami puzzle.  He's gone."|stage direction||
1168|DOROTHEA|It's him!  It's Nix!|speech|DOROTHEA|F
1169||Harry goes out into the passageway.|stage direction||
1170|HARRY|Valentin!  Get some lights on!|speech|HARRY|M
1171||"As if in reply to the command, a burst of vivid white FIRE
erupts behind Harry.  He swings round to see the Stranger
""unfolding"" out of the shadows again, defying physics and
physiology to do so.  The FIRE is at his feet, like a serpent
writhing on the ground.  It comes at Harry.  Harry FIRES at
it, but it comes at him faster still, rising to burn Harry's
leg.  He retreats, the FIRE racing after him. He makes for a
door, and flings it open.  He's in --"|stage direction||
1172||INT. SWANN'S MANSION - CASKET ROOM - NIGHT|location||
1173||"The FIRE follows him across the ground and STRIKES his hand.
Harry drops the GUN.  Looks up to see the Stranger in the
doorway, arm raised to will the fire-serpent on.  But then,
he hesitates.  Harry glances round, and sees that the
Stranger - whose face is still a dark smear - is staring at
the CASKET."|stage direction||
1174|HARRY|Somebody you know?|speech|HARRY|M
1175||"Dorothea appears behind the Stranger.  Sees Harry, burned and
sweating, cornered against the casket."|stage direction||
1176|DOROTHEA|Oh my God!|speech|DOROTHEA|F
1177||"The Stranger looks round.  Harry snatches up the GUN,
supporting his burned hand with -his good hand.  Levels the
gun at the Stranger.  The FIRE raises its head, like a cobra."|stage direction||
1178|HARRY|"Which goes first?  My face or
your heart?"|speech|HARRY|M
1179||"The Stranger draws a deep breath.  The Fire-Serpent withers
and dies."|stage direction||
1180|DOROTHEA|Who in God's name are you?|speech|DOROTHEA|F
1181||"She reaches for the Stranger, who simply folds up again; gone
into darkness.  The WIND blows through the house, masking his
exit."|stage direction||
1182|DOROTHEA|Are you all right?|speech|DOROTHEA|F
1183|HARRY|"Find Valentin!  Find him!  Get him
in here!"|speech|HARRY|M
1184||"Dorothea disappears.  Harry takes one of the candle-holders
and jams it under the casket lid.  Wood splinters.  He starts
to force off the lid.
Valentin and Dorothea enter."|stage direction||
1185|VALENTIN|"What are you doing?  This is
sacrilege."|speech|VALENTIN|M
1186||"He starts towards Harry.  Dorothea goes after him and catches
hold of his arm.  Her expression is a mingling of fascination
and dread, as Harry gets his fingers under the casket lid and
pulls.
Inside, Swann's corpse."|stage direction||
1187|VALENTIN|Are you satisfied now?|speech|VALENTIN|M
1188|HARRY|No.|speech|HARRY|M
1189||"Harry holds Valentin back with one hand, and puts his finger
into the corpse's mouth."|stage direction||
1190|DOROTHEA|Harry?|speech|DOROTHEA|F
1191|HARRY|"It's all right.  It's not
hurting..."|speech|HARRY|M
1192||"He now has four fingers in Swann's mouth and seizes hold of
his lower jaw.  It cracks --
-- and comes away in a little rain of plaster and latex."|stage direction||
1193|HARRY|...plaster doesn't bleed.|speech|HARRY|M
1194||He tosses the jaw to Valentin.|stage direction||
1195||(to Dorothea)|location||
1196|HARRY|"It looks like you're not a widow
after all."|speech|HARRY|M
1197||INT. SWANN'S MANSION - STUDY - NIGHT|location||
1198||"Harry interrogates Valentin in a white fury, while Dorothea
binds Harry's hand."|stage direction||
1199|HARRY|"You rigged the illusion to fail,
right?"|speech|HARRY|M
1200|VALENTIN|Yes.|speech|VALENTIN|M
1201|HARRY|"You paid off the doctor.  You set
up the fake body.  Yes?"|speech|HARRY|M
1202|VALENTIN|Yes.|speech|VALENTIN|M
1203|HARRY|"And then... because I was
getting too close to something --"|speech|HARRY|M
1204||(at Dorothea)|location||
1205|HARRY|--or someone, you called Swann|speech|HARRY|M
1206|VALENTIN|I tried to pay you off.|speech|VALENTIN|M
1207|HARRY|Was that Swann's idea?|speech|HARRY|M
1208|VALENTIN|"No.  It was mine.  I didn't want
any more bloodshed. That's why we
went to all this trouble, so
there'd be no one for Nix to come
after."|speech|VALENTIN|M
1209|HARRY|"Nix is dead and buried, for
fuck's sake."|speech|HARRY|M
1210|VALENTIN|"Haven't you seen enough to know
that doesn't matter?"|speech|VALENTIN|M
1211||"ON HARRY.  He looks as though he's beginning to think maybe
Nix's resurrection is plausible."|stage direction||
1212|HARRY|I want to see Swann face to face.|speech|HARRY|M
1213|VALENTIN|"Why don't you leave this alone? Let
everybody think it's over?"|speech|VALENTIN|M
1214|DOROTHEA|What about me?|speech|DOROTHEA|F
1215|VALENTIN|"Nix was never interested in you.
It was always Swann."|speech|VALENTIN|M
1216||A beat.|stage direction||
1217||(to Dorothea)|location||
1218|HARRY|"Maybe Valentin's right.  We should
let it alone."|speech|HARRY|M
1219||A BELL starts to TOLL-|stage direction||
1220||(con't.)|location||
1221|HARRY|"He went to all that trouble to be
dead.  Maybe we should let him stay
that way."|speech|HARRY|M
1222||The TOLLING carries over into|stage direction||
1223||EXT. HOLLYWOOD CEMETERY - DAY|location||
1224||"WE CRANE DOWN from a high angle on a GRAVE, surrounded by
MOURNERS.  The graveside service has just ended, and the
Mourners are beginning to disperse.  Dorothea is there
amongst them, of course.  So are several faces we recognize:
Vinovich, Wilder, Billy Who, Swann's Stage Manager, his
Dancers, his Technicians.  There are also several members of
the PRESS, and thirty or fourty other Mourners, some of whom,
to judge by their dress and manner, are also illusionists.
Harry stands some distance from the crowd, watching (hidden)
from the doorway of a mausoleum.  His eyes are on Dorothea as
she goes amongst the Mourners, receiving unheard words of
condolesence."|stage direction||
1225||EXT. WILTERN THEATRE - DAY|location||
1226||"The standee of Swann is being demolished by two WORKERS. They
are taking hammers to it, smashing it to pieces."|stage direction||
1227||INT. WILTERN THEATRE - STAGE - DAY|location||
1228||"The stage is starkly lit with working lights, the auditorium
in darkness.  Swann's equipment - including the partially
dismantled Dragon's head - is heaped on the stage.
Valentin wanders through the boxes to the place where Swann
""died.""  He stares down at the BLOOD on the stage."|stage direction||
1229||EXT. WILTERN THEATRE - DAY|location||
1230||"THE 1st WORKER throws the cut-out head of Swann's standee
down into the street."|stage direction||
1231|1ST WORKER|Watch out!|speech|1ST WORKER|M
1232||"On the HEAD, as it strikes the sidewalk at somebody's feet.
We don't see who."|stage direction||
1233||EXT. HOLLYWOOD CEMETERY - DAY|location||
1234||"Harry catches sight of somebody close to the gates of the
cemetery.  Dark glasses, a beard, an anonymous black suit.
Harry smiles slightly, and slips off between the mausoleums."|stage direction||
1235||EXT. HOLLYWOOD CEMETERY - PARKING LOT - DAY|location||
1236||"The BLACK-COATED MOURNER gets into his car.
On Harry, as he gets into his."|stage direction||
1237||INT. WILTERN THEATRE - STAGE - DAY|location||
1238||Valentin hears something in the auditorium.  Looks up.|stage direction||
1239|VALENTIN|Who's there?|speech|VALENTIN|M
1240||"He reaches into his jacket to draw a GUN. There's a NOISE.
He swings round.  Too late.
Butterfield has a scalpel at his throat.  He kicks Valentin
to the ground."|stage direction||
1241||(conversationally)|location||
1242|BUTTERFIELD|"I've sometimes thought, if I'd had
another profession, I would have
been a surgeon."|speech|BUTTERFIELD|M
1243||"On Valentin, staring up in terror.
Valentin's P.O.V.- of Butterfield, upside down, above him,
the scalpel glittering."|stage direction||
1244|BUTTERFIELD|"To be able to heal with one little
cut."|speech|BUTTERFIELD|M
1245||"On Valentin again, as Butterfield's blade touches his cheek,
just beneath his eye."|stage direction||
1246|VALEMTIN|No. . .|speech|VALEMTIN|?
1247|BUTTERFIELD|"Let's say those eyes of yours were
giving you trouble."|speech|BUTTERFIELD|M
