;vocab_male;vocab_male_count;vocab_female;vocab_female_count
657;defense;24;department;9
658;lord;23;marry;9
659;roll;23;josé;9
660;surveillance;23;lock;9
661;enemy;23;dudley;9
662;log;23;wrist;9
663;dust;23;rebel;9
664;husband;23;york;9
665;launch;23;combat;9
666;miss;23;sheriff;9
667;hogun;23;wire;9
668;star;23;progress;9
669;rome;23;fault;9
670;movement;23;practice;9
671;outta;23;position;9
672;mountain;23;caine;9
673;exchange;23;paul;9
674;lake;23;match;9
675;gift;23;miami;9
676;hunt;23;church;9
677;motion;23;interest;9
678;percy;23;balcony;9
679;table;23;alright;9
680;bye;23;thunder;8
681;rico;22;poison;8
682;lift;22;study;8
683;support;22;goddamnit;8
684;cid;22;damage;8
685;pov;22;mess;8
686;exit;22;london;8
687;cable;22;medusa;8
688;relationship;22;destroyer;8
689;stake;22;band;8
690;terror;22;tom;8
691;concern;22;alarm;8
692;vault;22;lewis;8
693;pack;22;bay;8
694;e;22;protect;8
695;button;22;trigger;8
696;vehicle;22;gift;8
697;career;22;escape;8
698;round;22;diner;8
699;map;22;evidence;8
700;alien;22;landsdale;8
701;lawyer;22;katrin;8
702;bill;22;skin;8
703;yesterday;22;cool;8
704;cup;22;bloody;8
705;meacham;22;pure;8
706;honor;22;sacrifice;8
707;rise;22;card;8
708;destroyer;22;training;8
709;flame;22;message;8
710;ray;22;breakfast;8
711;core;22;article;8
712;strickland;22;engine;8
713;reach;22;wilhelm;8
714;crash;22;touch;8
715;throne;22;blow;8
716;tree;21;bond;8
717;tech;21;meagan;8
718;scream;21;e;8
719;hammer;21;pull;8
720;beech;21;rush;8
721;badge;21;smile;8
722;jim;21;ten;8
723;ah;21;experience;8
724;plant;21;pick;8
725;lee;21;kick;8
726;project;21;history;8
727;pound;21;circuit;8
728;p;21;director;8
729;roxanne;21;responsibility;8
730;noise;21;flea;8
731;page;21;trailer;8
732;ninety;21;statement;8
733;roof;21;relationship;8
734;alarm;21;jordan;8
735;burn;21;marriage;8
736;afternoon;21;mountain;8
737;mirror;21;cover;8
738;tube;21;permission;8
739;monkey;21;seb;8
740;enter;21;pack;8
741;color;21;shape;8
742;ow;21;location;8
743;tet;21;knock;8
744;tan;21;goin;8
745;respect;21;ext;8
746;camp;20;go;8
747;push;20;murdoch;8
748;quarter;20;video;8
749;cobb;20;apple;8
750;sif;20;businessman;8
751;tail;20;chief;8
752;trade;20;bosley;8
753;beneath;20;orange;8
754;pussy;20;trap;8
755;goddamnit;20;keep;8
756;phase;20;bet;8
757;stare;20;request;8
758;month;20;frame;8
759;armor;20;destiny;8
760;bet;20;pistol;8
761;freeze;20;gaze;8
762;monitor;20;supply;8
763;whoa;20;partner;8
764;warrior;20;weapon;8
765;daddy;20;cage;8
766;violence;20;kinda;8
767;hiccup;20;wreck;7
768;abe;20;credit;7
769;helmsley;20;calm;7
770;ock;20;roof;7
771;staff;20;caiman;7
772;seth;20;beach;7
773;video;20;crew;7
774;ceiling;20;revenge;7
775;bathroom;20;bite;7
776;chimpanzee;20;k;7
777;plastic;20;return;7
778;favor;20;chest;7
779;pod;20;goddess;7
780;starke;20;movement;7
781;ten;20;wheel;7
782;angle;20;save;7
783;copy;19;somehow;7
784;shifu;19;christmas;7
785;bobby;19;shield;7
786;henry;19;lien;7
787;destroy;19;phil;7
788;package;19;fury;7
789;koba;19;bullet;7
790;self;19;chain;7
791;palm;19;focus;7
792;victor;19;fly;7
793;handle;19;reed;7
794;study;19;motion;7
795;l;19;size;7
796;america;19;television;7
797;reed;19;knew;7
798;colonel;19;wood;7
799;destruction;19;bifrost;7
800;talley;19;bureau;7
801;fate;19;violence;7
802;deck;19;stand;7
803;revenge;19;bike;7
804;chest;19;stare;7
805;explain;19;jus;7
806;trace;19;cream;7
807;permission;19;operation;7
808;robbery;19;disc;7
809;material;19;maggie;7
810;property;19;lawyer;7
811;reveal;19;luck;7
812;college;19;campsite;7
813;ravenna;19;response;7
814;justice;19;event;7
815;ext;19;romeo;7
816;agency;19;bug;7
817;combat;19;thomas;7
818;doin;18;champagne;7
819;crowd;18;jeff;7
820;kong;18;coincidence;7
821;bureau;18;lie;7
822;thousand;18;amount;7
823;rage;18;cup;7
824;aw;18;faith;7
825;connection;18;link;7
826;load;18;expedition;7
827;drunk;18;lead;7
828;process;18;cab;7
829;toothless;18;doubt;7
830;arrest;18;forest;7
831;protection;18;animal;7
832;appreciate;18;bye;7
833;kitchen;18;matt;7
834;wheel;18;conversation;7
835;denton;18;agency;7
836;cost;18;sonofabitch;7
837;cap;18;dodge;7
838;breakfast;18;career;7
839;manager;18;respect;7
840;darkness;18;inspector;7
841;dirt;18;cross;7
842;lie;18;shotgun;7
843;maurice;18;crack;7
844;authority;18;page;7
845;kate;18;thief;7
846;farm;18;self;7
847;credit;18;lieutenant;7
848;weakness;18;union;7
849;hood;18;count;7
850;trigger;18;wish;7
851;opportunity;18;status;7
852;fort;18;protection;6
853;effort;18;odell;6
854;fly;18;give;6
855;language;18;fan;6
856;conjunction;18;meat;6
857;film;18;bowl;6
858;homicide;18;fence;6
859;coat;18;tango;6
860;bunch;18;listen;6
861;cabin;18;target;6
862;match;18;tree;6
863;corpse;18;realm;6
864;buy;18;derek;6
865;glory;18;coin;6
866;mess;18;doc;6
867;craft;18;secretary;6
868;uncle;18;approach;6
869;football;18;cow;6
870;mister;18;catch;6
871;director;18;stormie;6
872;threat;18;protocol;6
873;king;18;bobby;6
874;vincent;18;cataleya;6
875;range;18;gasps;6
876;trap;18;lindenmeyer;6
877;asshole;18;horizon;6
878;travel;17;bath;6
879;fog;17;jacket;6
880;smell;17;shop;6
881;investigation;17;flash;6
882;gimme;17;environment;6
883;scar;17;terror;6
