;vocab_male;vocab_male_count;vocab_female;vocab_female_count
836;climb;3;starve;1
837;honor;3;fascination;1
838;cloud;3;failure;1
839;crap;3;heat;1
840;flabby;3;heap;1
841;ride;3;admiration;1
842;tag;3;friday;1
843;scoop;3;crystal;1
844;perfect;3;mighty;1
845;dan;3;daddy;1
846;cage;3;rotisserie;1
847;trap;3;toss;1
848;truth;3;bunnymund;1
849;shortage;3;cacao;1
850;crikey;3;graft;1
851;muntz;3;actor;1
852;globe;3;tin;1
853;sweatlodge;3;republic;1
854;chaos;3;tie;1
855;keep;3;grimly;1
856;jesus;3;eternity;1
857;puppet;3;toad;1
858;photograph;3;journey;1
859;steed;3;papadam;1
860;bet;3;windscreen;1
861;bug;3;weeeeee;1
862;lemme;3;signori;1
863;massacre;3;glass;1
864;state;3;pacer;1
865;doorway;3;yapping;1
866;volunteer;3;battle;1
867;surface;3;rot;1
868;dah;3;milk;1
869;destruction;3;deblois;1
870;arrest;3;zone;1
871;loss;3;passage;1
872;candy;3;vee;1
873;become;3;division;1
874;lead;3;congregation;1
875;throne;3;blast;1
876;mommy;3;policeman;1
877;sweat;3;fragile;1
878;guard;3;magnet;1
879;weather;3;bonfire;1
880;bus;3;shave;1
881;plague;3;bake;1
882;hm;3;headset;1
883;wish;3;curse;1
884;whoah;3;tartare;1
885;twist;3;assistance;1
886;boom;3;suspect;1
887;illusion;3;foliage;1
888;francisco;3;dweller;1
889;ghost;3;pause;1
890;skeleton;2;box;1
891;electricity;2;tire;1
892;pride;2;cinnamon;1
893;chogun;2;bon;1
894;risk;2;boo;1
895;ooof;2;bob;1
896;enjoy;2;prefer;1
897;pulse;2;haaaappppyyyyyyy;1
898;budget;2;bury;1
899;chef;2;france;1
900;reporter;2;oof;1
901;pursuit;2;clue;1
902;argh;2;daan;1
903;mentor;2;tokyo;1
904;throat;2;soul;1
905;glance;2;soup;1
906;warn;2;ulo;1
907;hole;2;figure;1
908;example;2;december;1
909;fortress;2;fuck;1
910;gettin;2;hedda;1
911;travel;2;gabby;1
912;machine;2;mmmmmm;1
913;disappoint;2;hydrogen;1
914;loyalty;2;serum;1
915;lab;2;pink;1
916;descent;2;savor;1
917;attempt;2;write;1
918;jungle;2;sunday;1
919;goodbye;2;sword;1
920;london;2;pint;1
921;mabel;2;hmph;1
922;japan;2;mat;1
923;fix;2;birthday;1
924;crew;2;wagging;1
925;tourist;2;ruuugh;1
926;therapy;2;mangy;1
927;silver;2;maybe;1
928;anastasia;2;gollum;1
929;volcano;2;hon;1
930;taught;2;switch;1
931;forgot;2;jail;1
932;smart;2;basket;1
933;loud;2;sa;1
934;comin;2;sonnet;1
935;thick;2;shield;1
936;fence;2;blare;1
937;service;2;avid;1
938;top;2;curls;1
939;ceiling;2;platform;1
940;murder;2;window;1
941;gym;2;non;1
942;task;2;servant;1
943;ramsbottom;2;em;1
944;coward;2;el;1
945;rat;2;eh;1
946;seed;2;axlerod;1
947;hum;2;torch;1
948;rider;2;krav;1
949;cumulo;2;living;1
950;doin;2;investigation;1
951;limitless;2;sensor;1
952;gooder;2;booby;1
953;camp;2;curby;1
954;reputation;2;possibility;1
955;retire;2;underwear;1
956;execution;2;programming;1
957;explain;2;invitation;1
958;disgust;2;blood;1
959;thatta;2;rink;1
960;piggy;2;motherrr;1
961;voyage;2;sheep;1
962;mud;2;caught;1
963;approach;2;exoskeleton;1
964;pity;2;moscow;1
965;gwen;2;butt;1
966;fillmore;2;copy;1
967;hygiene;2;boyfriend;1
968;beet;2;television;1
969;broth;2;future;1
970;split;2;favore;1
971;contact;2;slay;1
972;disguise;2;alley;1
973;hal;2;sad;1
974;royal;2;ant;1
975;save;2;anytime;1
976;haw;2;marathon;1
977;performance;2;wink;1
978;pollito;2;performance;1
979;remind;2;butterfly;1
980;romanov;2;theatre;1
981;illustration;2;track;1
982;cottontail;2;knew;1
983;trophy;2;pair;1
984;leprechaun;2;forever;1
985;aha;2;drive;1
986;float;2;shot;1
987;profession;2;hairpin;1
988;undergrowth;2;trespass;1
989;passenger;2;corner;1
990;agghh;2;fifth;1
991;dent;2;slot;1
992;tis;2;daas;1
993;til;2;favor;1
994;test;2;slob;1
995;company;2;outrage;1
996;convincing;2;hostage;1
997;occasion;2;clang;1
998;weekend;2;freaking;1
999;highness;2;ruddy;1
1000;apology;2;husband;1
1001;rod;2;burst;1
1002;midst;2;sport;1
1003;row;2;incisor;1
1004;foe;2;outside;1
1005;advantage;2;notice;1
1006;blast;2;topolino;1
1007;clouds;2;tuck;1
1008;settle;2;contract;1
1009;round;2;wallaby;1
1010;diarrhoea;2;duty;1
1011;minion;2;merry;1
1012;boca;2;color;1
1013;assistance;2;poo;1
1014;wail;2;pole;1
1015;magnetism;2;hotter;1
1016;box;2;boat;1
1017;fragilé;2;hobo;1
1018;shift;2;reflex;1
1019;pause;2;shopping;1
1020;marker;2;gaaaa;1
1021;shelley;2;thousand;1
1022;prove;2;spirit;1
1023;sake;2;cast;1
1024;france;2;situation;1
1025;wondering;2;cart;1
1026;altar;2;fool;1
1027;oop;2;taser;1
1028;cat;2;cluster;1
1029;making;2;stewardess;1
1030;chip;2;doctor;1
1031;sunday;2;trip;1
1032;sword;2;hookfang;1
1033;membership;2;week;1
1034;gingerbread;2;aaaaaah;1
1035;tale;2;weed;1
1036;cute;2;director;1
1037;bein;2;jujitsu;1
1038;killer;2;cheery;1
1039;underneath;2;sshhhhhhhh;1
1040;wagon;2;relief;1
1041;ee;2;model;1
1042;axlerod;2;reward;1
1043;ew;2;rest;1
1044;er;2;cease;1
1045;irony;2;speed;1
1046;formula;2;blow;1
1047;booby;2;hint;1
1048;waiter;2;ahhhh;1
1049;stimulation;2;swim;1
1050;frame;2;mox;1
1051;season;2;read;1
1052;television;2;twitchy;1
1053;r;2;bony;1
1054;russia;2;dart;1
1055;woah;2;mob;1
1056;destroy;2;snare;1
1057;begin;2;execution;1
1058;sure;2;grin;1
1059;pair;2;towel;1
1060;knee;2;redhead;1
1061;woooo;2;roll;1
1062;ferrari;2;audience;1
1063;mister;2;witchcraft;1
1064;snack;2;table;1
1065;dice;2;dolt;1
1066;cloak;2;pioneer;1
1067;lame;2;transmutation;1
1068;burst;2;wheat;1
1069;college;2;poem;1
1070;reading;2;slaughter;1
1071;blame;2;broken;1
1072;handkerchief;2;throwback;1
1073;whitworth;2;throw;1
1074;quack;2;brighton;1
1075;twit;2;giggle;1
1076;pot;2;roar;1
1077;vacation;2;wolf;1
1078;direction;2;neighbor;1
1079;cash;2;siddeley;1
1080;soil;2;bedtime;1
1081;taser;2;operator;1
1082;pat;2;hoooo;1
1083;slate;2;vaporize;1
1084;assist;2;area;1
1085;fruit;2;loo;1
1086;breeze;2;mindless;1
1087;summer;2;valley;1
1088;flavor;2;gymnasium;1
1089;blow;2;recoil;1
1090;announcement;2;corsa;1
1091;flood;2;handsome;1
1092;brogue;2;nightlife;1
1093;pile;2;grass;1
