|character|text|type|character_clean|gender
270||"and a Miami PD SWAT team crash through the front door.
Another team through the back.  Trudy in a tactical vest is
second in with a 12-gauge.  The house is empty.  Gina and
other detectives hang in the rear.  First SWAT team ""clears""
the living room, dining room.  Second clears the kitchen,
maid's quarters..."|stage direction||
271||INT. ALONZO STEVENS' HOUSE - DOOR TO DEN - NIGHT|location||
272||"...last room to clear...center of the house.  SWAT teams
appear around corners.  Weapons up.  The looks on their faces
tell us nobody is here...nobody alive...and what they see
gives even these veterans pause as blood pools around the
legs of a family and overturned chairs.  Alonzo didn't save
anyone."|stage direction||
273||(after changing channel)|location||
274|TRUDY|Hello, Sonny...?|speech|TRUDY|F
275||EXT. FREEWAY - TUBBS|location||
276||on police radio listens to a message from Trudy while...|stage direction||
277||(to Tubbs)|location||
278|STEVENS|I gotta, I gotta go...!|speech|STEVENS|M
279|TUBBS|Alonzo...|speech|TUBBS|M
280|STEVENS|What...?|speech|STEVENS|M
281||(voice cracks)|location||
282|TUBBS|Alonzo, you don't need to go home.|speech|TUBBS|M
283||Now Alonzo knows.|stage direction||
284|STEVENS|"They said they wouldn't hurt them,
wouldn't hurt them if..."|speech|STEVENS|M
285|TUBBS|They lied.|speech|TUBBS|M
286|CROCKETT|They been known to do that...|speech|CROCKETT|F
287||"Alonzo Stevens has a strange look in his eyes.  He looks at
Crockett and Tubbs, as if to say something.  He doesn't.
Crockett and Tubbs walk towards him, to reach him...to
console him...
BUT ALONZO STEVENS
backs away.  Looks at them sadly.  And before they can stop
him, he steps out onto the freeway, opens his arms, and
embraces the front bumper of a 70 m.p.h. 18-wheeler."|stage direction||
288||INT. MERCEDES CL-500 - CROCKETT + TUBBS - NIGHT|location||
289||"Grim, silent, race through Miami traffic to the crime scene
we know is ahead because...
OVER TUBBS' SHOULDER we see all the lights from two dozen
emergency vehicles a quarter mile ahead.  Death is not
procedural or casual, not when it's somebody you know, like
an informant you worked cases with.  Cell phone rings."|stage direction||
290|TUBBS|Yeah.|speech|TUBBS|M
291|CASTILLO (V.O.)|What's your twenty?|speech|CASTILLO|F
292|TUBBS|"Quarter mile away.  We see the
lights..."|speech|TUBBS|M
293|CASTILLO (V.O.)|Turn around.|speech|CASTILLO|F
294||(taking cell)|location||
295|TUBBS|We know these people...!|speech|TUBBS|M
296|CASTILLO|Grieve elsewhere.|speech|CASTILLO|F
297||CUT TO:|unknown||
